pais,trimestre,anio,producto,cantidad
Mexico,2,2024,Refrescos,2230.1073531282227
Mexico,2,2024,Agua,297.550084998
Mexico,2,2024,Otros,313.200770873777
Mexico,2,2024,Total,2840.8582089999995
Mexico,1,2024,Refrescos,1867.4851072632114
Mexico,1,2024,Agua,218.955490986
Mexico,1,2024,Otros,260.6066824344165
Mexico,1,2024,Total,2347.047280683628
Mexico,4,2023,Refrescos,1900.7
Mexico,4,2023,Agua,190.7
Mexico,4,2023,Otros,243.8
Mexico,4,2023,Total,2335.2
Mexico,3,2023,Refrescos,2067.5938380843772
Mexico,3,2023,Agua,225.77446206848302
Mexico,3,2023,Otros,260.35741953227
Mexico,3,2023,Total,2553.72571968513
Mexico,2,2023,Refrescos,2102.2332153296775
Mexico,2,2023,Agua,258.606628572798
Mexico,2,2023,Otros,268.012867556646
Mexico,2,2023,Total,2628.8527114591216
Mexico,1,2023,Refrescos,1765.152139162064
Mexico,1,2023,Agua,191.321267913365
Mexico,1,2023,Otros,254.723532924571
Mexico,1,2023,Total,2211.1969400000003
Mexico,4,2022,Refrescos,1888.7694699724743
Mexico,4,2022,Agua ,179.805654629428
Mexico,4,2022,Otros,239.273479288312
Mexico,4,2022,Total,2307.8486038902142
Mexico,3,2022,Refrescos,1920.862141782636
Mexico,3,2022,Agua ,188.587899221302
Mexico,3,2022,Otros,239.73916782918295
Mexico,3,2022,Total,2349.189208833121
Mexico,2,2022,Refrescos,2061.55884453506
Mexico,2,2022,Agua ,216.861050807176
Mexico,2,2022,Otros,250.497710206881
Mexico,2,2022,Total,2528.917605549117
Mexico,1,2022,Refrescos,1698.603348544199
Mexico,1,2022,Agua,154.26245276250302
Mexico,1,2022,Otros,237.55353755021954
Mexico,1,2022,Total,2090.4193388569215
Mexico,4,2021,Refrescos,1871.297393479119
Mexico,4,2021,Agua ,154.711382511511
Mexico,4,2021,Otros,226.383646706743
Mexico,4,2021,Total,2252.3924226973727
Mexico,3,2021,Refrescos,1748.7493348728372
Mexico,3,2021,Agua ,147.558267659467
Mexico,3,2021,Otros,213.787300860019
Mexico,3,2021,Total,2110.094903392323
Mexico,2,2021,Refrescos,1895.4555670167651
Mexico,2,2021,Agua ,171.002615983768
Mexico,2,2021,Otros,225.189575712861
Mexico,2,2021,Total,2291.647758713394
Mexico,1,2021,Refrescos,1590.272416367205
Mexico,1,2021,Agua,131.489981146362
Mexico,1,2021,Otros,193.616752476433
Mexico,1,2021,Total,1915.37914999
Mexico,4,2020,Refrescos,1726.920466423964
Mexico,4,2020,Agua ,124.48488080554
Mexico,4,2020,Otros,190.43566414692796
Mexico,4,2020,Total,2041.841011376432
Mexico,3,2020,Refrescos,1704.141447817859
Mexico,3,2020,Agua ,120.579169979548
Mexico,3,2020,Otros,189.83730182644896
Mexico,3,2020,Total,2014.557919623856
Mexico,2,2020,Refrescos,1709.515424587771
Mexico,2,2020,Agua ,117.951804554886
Mexico,2,2020,Otros,171.093346999862
Mexico,2,2020,Total,1998.5605761425188
Mexico,1,2020,Refrescos,1775.0400032149632
Mexico,1,2020,Agua,158.620676153343
Mexico,1,2020,Otros,214.004792143152
Mexico,1,2020,Total,2147.6654715114582
Mexico,4,2019,Refrescos,1965.171739960604
Mexico,4,2019,Agua,158.23979880701398
Mexico,4,2019,Otros,217.38520061540297
Mexico,4,2019,Total,2340.796739383021
Mexico,3,2019,Refrescos,2060.9905182924713
Mexico,3,2019,Agua ,150.63227010888997
Mexico,3,2019,Otros,249.24173361866502
Mexico,3,2019,Total,2460.864522020026
Mexico,2,2019,Refrescos,2112.66746432414
Mexico,2,2019,Agua ,181.557223576988
Mexico,2,2019,Otros,265.57147167028097
Mexico,2,2019,Total,2559.796159571409
Mexico,1,2019,Refrescos,1827.4456661895272
Mexico,1,2019,Agua ,144.33198269486198
Mexico,1,2019,Otros,251.370791975186
Mexico,1,2019,Total,2223.148440859575
Mexico,4,2018,Refrescos,1931.4095985078309
Mexico,4,2018,Agua,168.21711368730402
Mexico,4,2018,Otros,224.42305805848997
Mexico,4,2018,Total,2324.049770253625
Mexico,3,2018,Refrescos,2042.4047552952766
Mexico,3,2018,Agua,192.59304395035898
Mexico,3,2018,Otros,242.16657058728094
Mexico,3,2018,Total,2477.1643698329167
Mexico,2,2018,Refrescos,2154.835335643787
